window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,42,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,43,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,43,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,44,majority,has_news,290,0.11270296084049665,0.3333333333333333,0.20344827586206896
1,44,majority,no_news,310,0.10961365678346811,0.3333333333333333,0.1967741935483871
1,42,random,has_news,290,0.29746369113946736,0.3128883660580435,0.30344827586206896
1,42,random,no_news,310,0.32887934179463113,0.33746600692772416,0.35161290322580646
1,43,random,has_news,290,0.3093594348659004,0.3189223457471749,0.3275862068965517
1,43,random,no_news,310,0.31136050417841715,0.32263816482772584,0.3258064516129032
1,44,random,has_news,290,0.31978781332466216,0.32961001319716304,0.33448275862068966
1,44,random,no_news,310,0.32164021164021167,0.3433631797742092,0.32903225806451614
1,42,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,42,logreg_price,no_news,310,0.3225625512069074,0.3622166856260192,0.5161290322580645
1,43,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,43,logreg_price,no_news,310,0.3225625512069074,0.3622166856260192,0.5161290322580645
1,44,logreg_price,has_news,290,0.2792485797509688,0.32638794480312,0.46551724137931033
1,44,logreg_price,no_news,310,0.3225625512069074,0.3622166856260192,0.5161290322580645
1,42,logreg_price_sentiment,has_news,290,0.3108814439450409,0.33881057215759275,0.45517241379310347
1,42,logreg_price_sentiment,no_news,310,0.3296574625024475,0.368530266338193,0.5258064516129032
1,43,logreg_price_sentiment,has_news,290,0.3108814439450409,0.33881057215759275,0.45517241379310347
1,43,logreg_price_sentiment,no_news,310,0.3296574625024475,0.368530266338193,0.5258064516129032
1,44,logreg_price_sentiment,has_news,290,0.3108814439450409,0.33881057215759275,0.45517241379310347
1,44,logreg_price_sentiment,no_news,310,0.3296574625024475,0.368530266338193,0.5258064516129032
1,42,lstm_price,has_news,290,0.28370596205962056,0.34021999587530855,0.4896551724137931
1,42,lstm_price,no_news,310,0.35498289873654815,0.38889819409259146,0.5419354838709678
1,43,lstm_price,has_news,290,0.2813152438958891,0.33639818254626636,0.4862068965517241
1,43,lstm_price,no_news,310,0.3257729270564266,0.3703063970949154,0.5290322580645161
1,44,lstm_price,has_news,290,0.30398716239825035,0.3511101986233149,0.49310344827586206
1,44,lstm_price,no_news,310,0.34796426994722207,0.38549132638699873,0.5419354838709678
1,42,lstm_price_sentiment,has_news,290,0.35446137603194555,0.36535425643188296,0.4241379310344828
1,42,lstm_price_sentiment,no_news,310,0.3558669530306859,0.37115666008323506,0.4967741935483871
1,43,lstm_price_sentiment,has_news,290,0.32813245289585985,0.3304714818277747,0.3931034482758621
