arm,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_ovr_auc_mean,macro_ovr_auc_std,macro_f1_window_ci_low,macro_f1_window_ci_high,macro_f1_date_ci_low,macro_f1_date_ci_high,balanced_accuracy_window_ci_low,balanced_accuracy_window_ci_high,balanced_accuracy_date_ci_low,balanced_accuracy_date_ci_high,accuracy_window_ci_low,accuracy_window_ci_high,accuracy_date_ci_low,accuracy_date_ci_high
majority,0.14527289471025734,0.026391809811576412,0.33333333333333326,5.551115123125783e-17,0.28200000000000003,0.06677823996882017,,,,,,,,,,,,,,
random,0.3289382820929338,0.01840199226755298,0.33434191201231633,0.017453267734962506,0.33388888888888885,0.017370330885211387,,,,,,,,,,,,,,
logreg_price,0.35509156436706296,0.028148772338583854,0.3791845135438271,0.02001840635046408,0.4219999999999999,0.05044689176638029,0.5600683302144377,0.013616167077861353,,,,,,,,,,,,
logreg_price_sentiment,0.36662899687198114,0.02195984363182986,0.38692769076385997,0.017089681603516753,0.42600000000000005,0.05067982285332541,0.5559475657870971,0.015720028126262126,,,,,,,,,,,,
lstm_price,0.37562854352521635,0.032101153485484604,0.3915322684104778,0.01845957277871754,0.43411111111111117,0.04899307081266004,0.571359499318118,0.021232940034609734,,,,,,,,,,,,
lstm_price_sentiment,0.3883461091659591,0.02486974624689897,0.3953999156066092,0.02429818742482259,0.424,0.03811192095025543,0.5649507487185017,0.01649467077070193,,,,,,,,,,,,
tft_price,0.3618944895202291,0.03522561017696123,0.3775620620995101,0.026416072912633405,0.41233333333333316,0.04769812481755557,0.5595657961320525,0.022725421257080495,,,,,,,,,,,,
tft_price_sentiment,0.3548642287852057,0.019164640031843268,0.3737013887134225,0.01870514033437444,0.39266666666666666,0.0381556267390781,0.5519280253142872,0.014947489772453323,,,,,,,,,,,,
DELTA logreg_price_sentiment__minus__logreg_price,0.011537432504918298,,0.007743177220032815,,0.0040000000000000036,,,,-0.0025030520685089706,0.021995451123620845,-0.0035478964454330577,0.01805602530648291,-0.0029874099118195607,0.016234539324534048,-0.00459329862368626,0.013969715614267294,-0.006000000000000005,0.013333333333333353,-0.005333333333333301,0.01266666666666666
DELTA lstm_price_sentiment__minus__lstm_price,0.0127175656407427,,0.0038676471961313296,,-0.010111111111111081,,,,-0.007710123594187235,0.03314525487567264,-0.013887391829409132,0.013677435880433948,-0.010208685844511367,0.014318995433662551,-0.01888098889117895,0.006833022833869516,-0.03199999999999997,0.011777777777777809,-0.023222222222222255,0.002669444444444413
DELTA tft_price_sentiment__minus__tft_price,-0.007030260735023508,,-0.0038606733860875654,,-0.019666666666666666,,,,-0.023030138373900423,0.013819252068684451,-0.029025197910010035,-0.0037720204019875505,-0.018513611242890537,0.011385941162476765,-0.030801592978741056,-0.006217780466592277,-0.03344444444444446,-0.002888888888888874,-0.031888888888888856,-0.006999999999999951
